CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down_gluonsplitting, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0022710009943693876" 
0, mujets, down_gluonsplitting, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.003379815025255084" 
0, mujets, down_jes, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.01366710476577282" 
0, mujets, down_jes, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0018311698222532868" 
0, mujets, down_jes, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0028292089700698853" 
0, mujets, down_jes, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0020630273502320051" 
0, mujets, down_jes, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0021103371400386095" 
0, mujets, down_jes, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0054859854280948639" 
0, mujets, down_jes, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0020509744063019753" 
0, mujets, down_jes, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0041186455637216568" 
0, mujets, down_jes, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0065939589403569698" 
0, mujets, down_jes, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0054668420925736427" 
0, mujets, down_jes, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00073246791725978255" 
0, mujets, down_jes, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0011316835880279541" 
0, mujets, down_jes, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00082521094009280205" 
0, mujets, down_jes, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00084413489094004035" 
0, mujets, down_jes, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0021943941246718168" 
0, mujets, down_jes, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00082038977416232228" 
0, mujets, down_jes, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0016474582953378558" 
0, mujets, down_jes, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0026375835295766592" 
0, mujets, down_jetaway, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.039563827216625214" 
0, mujets, down_jetaway, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.010326066054403782" 
0, mujets, down_jetaway, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.012364257127046585" 
